case_id,equipment_type,equipment_id,location,complaint,symptoms,previous_action,root_cause,resolution,cost,repair_time,urgency,technician_notes,status
CASE-0001,Water Pump,WATER-PUMP-08,Hostel Block A,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0002,AC,AC-12,Hostel Block B,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0003,Generator,GENERATOR-20,Administrative Block,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0004,AC,AC-06,Laboratory Building,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0005,AC,AC-08,Library,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0006,Generator,GENERATOR-05,Main Auditorium,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0007,Generator,GENERATOR-08,Engineering Block,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0008,AC,AC-10,Library,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0009,Elevator,ELEVATOR-09,Administrative Block,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0010,Generator,GENERATOR-17,Hostel Block A,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0011,AC,AC-20,Library,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0012,Elevator,ELEVATOR-19,Hostel Block B,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0013,AC,AC-15,Hostel Block A,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0014,Water Pump,WATER-PUMP-11,Computer Science Block,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0015,Generator,GENERATOR-06,Hostel Block A,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0016,Generator,GENERATOR-16,Computer Science Block,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0017,AC,AC-18,Library,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0018,Generator,GENERATOR-08,Laboratory Building,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0019,Generator,GENERATOR-15,Hostel Block A,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0020,AC,AC-12,Main Auditorium,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0021,Water Pump,WATER-PUMP-06,Laboratory Building,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0022,Water Pump,WATER-PUMP-13,Hostel Block A,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0023,Water Pump,WATER-PUMP-02,Administrative Block,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0024,Elevator,ELEVATOR-02,Administrative Block,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0025,Water Pump,WATER-PUMP-02,Hostel Block A,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0026,Water Pump,WATER-PUMP-08,Main Auditorium,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0027,Water Pump,WATER-PUMP-15,Hostel Block B,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0028,Generator,GENERATOR-13,Engineering Block,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0029,Elevator,ELEVATOR-09,Administrative Block,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0030,Elevator,ELEVATOR-03,Hostel Block B,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0031,Generator,GENERATOR-05,Hostel Block A,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0032,Elevator,ELEVATOR-05,Computer Science Block,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0033,Generator,GENERATOR-07,Hostel Block A,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0034,Generator,GENERATOR-17,Hostel Block B,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0035,AC,AC-03,Hostel Block A,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0036,Generator,GENERATOR-01,Hostel Block A,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0037,Water Pump,WATER-PUMP-13,Main Auditorium,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0038,Elevator,ELEVATOR-16,Library,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0039,Water Pump,WATER-PUMP-12,Computer Science Block,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0040,Generator,GENERATOR-10,Main Auditorium,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0041,Water Pump,WATER-PUMP-20,Main Auditorium,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0042,Generator,GENERATOR-18,Library,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0043,Water Pump,WATER-PUMP-03,Engineering Block,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0044,Water Pump,WATER-PUMP-07,Library,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0045,Generator,GENERATOR-04,Laboratory Building,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0046,AC,AC-15,Main Auditorium,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0047,Water Pump,WATER-PUMP-19,Main Auditorium,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0048,Generator,GENERATOR-06,Hostel Block A,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0049,Water Pump,WATER-PUMP-08,Engineering Block,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0050,Water Pump,WATER-PUMP-12,Administrative Block,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0051,AC,AC-13,Engineering Block,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0052,Water Pump,WATER-PUMP-06,Laboratory Building,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0053,Elevator,ELEVATOR-18,Computer Science Block,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0054,Water Pump,WATER-PUMP-11,Laboratory Building,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0055,Water Pump,WATER-PUMP-10,Hostel Block A,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0056,AC,AC-17,Computer Science Block,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0057,Generator,GENERATOR-05,Laboratory Building,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0058,Generator,GENERATOR-04,Laboratory Building,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0059,AC,AC-16,Library,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0060,AC,AC-17,Main Auditorium,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0061,Elevator,ELEVATOR-20,Library,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0062,Elevator,ELEVATOR-10,Main Auditorium,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0063,Water Pump,WATER-PUMP-05,Laboratory Building,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0064,Elevator,ELEVATOR-16,Laboratory Building,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0065,Generator,GENERATOR-18,Hostel Block A,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0066,Elevator,ELEVATOR-15,Hostel Block A,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
